movies,year,genre,rating,brief summary,votes,director,actor,count_actors,count_directors,rating category,voting category
The Mars Generation,2017,Documentary            ,6.4,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,954,Michael Barnett,"Elsa Shiju, Bob Behnken, Alayna Bidlack, Niko Blanks",4,1,Moderate,Average
Deadly Runway,2018,"Drama, Horror            ",4.7,"When a psychotic fashion photographer turns a nerdish high school student into a superstar model, her obsession with him drives her to homicidal madness.",160,Doug Campbell,"Joshua Hoffman, Elle Army, Linsey Godfrey, T",4,1,Low,Average
Tom Papa: You're Doing Great!,2020,Comedy            ,7.2,"Tom Papa takes on body image issues, social media, pets, Staten Island, the ""old days"" and more in a special from his home state of New Jersey.",719,Gregory Jacobs,Paul C,1,1,High,Average
Borstal,2017,Drama            ,4.6,"Set in 1971, Kris is sentenced to two years in a rural Borstal.",483,Steven M,"Matthew Winters, Patrick Kilpatrick, Tony Fadil, Sonny Denham",4,1,Low,Average
Ritoru wicchi akademia: Mahoujihikake no parêdo,2015,"Animation, Comedy, Family            ",7.3,"When Akko and other troubled students at Luna Nova are assigned to manage the annual witch hunt parade, Akko wants to make the event more positive.",1571,Yô Yoshinari,"Megumi Han, Fumiko Orikasa, Michiyo Murase, Yôko Hikasa",4,1,High,Popular
André & His Olive Tree,2020,Documentary            ,6.8,"André and His Olive Tree follows Chef André as he prepares to close his beloved Restaurant André on Valentine's Day of 2018, and return those coveted Michelin stars. This of course creates ...                See full summary »",159,Josiah Ng,Andre Chiang,1,1,Moderate,Average
Evicted,1999,Comedy            ,3.8,"24 hours in the lives of three L.A. youths dealing in drugs, drink and debauchery as they face eviction from their Hollywood apartment.",80,Michael Tierney,"Josh Blackhill, Magnús Jónsson, Michael Tierney, Terence Tierney",4,1,Low,Unknown
Seth Meyers: Lobby Baby,2019,Comedy            ,7.5,SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.,2275,Neal Brennan,"Jonathan Chacko, Seth Meyers",2,1,High,Popular
A Trash Truck Christmas,2020,"Animation, Family            ",5.6,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",159,Eddie Rosas,"Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner",4,1,Moderate,Average
J Revolusi,2017,Action            ,5.0,"Jay Zulkarnain is an assault leader for Malaysia's elite and deadly special force known as the UTK (Unit Tindakhas), and he and his squad of operatives are every terrorist's worst nightmare...                See full summary »",172,Zulkarnain Azhar,"Zul Ariffin, Nur Fazura, Farid Kamil, Izara Aishah",4,1,Moderate,Average
Faroeste Caboclo,2013,"Crime, Drama, Romance            ",6.6,"After doing time in jail for killing the cop who murdered his father, Joao heads for Brasilia where a distant cousin from Argentina helps him get a start as a carpenter's apprentice - as long as he sidelines as a drug dealer.",2867,René Sampaio,"Fabrício Boliveira, Isis Valverde, Felipe Abib, Antonio Calloni",4,1,Moderate,Popular
GP506,2008,Horror            ,5.9,"(Korean with English subtitles) A squad of Korean soldiers is sent to investigate a guard post that overlooks the DMZ. Seemingly deserted at first, the squad eventually discovers mysterious...                See full summary »",1720,Su,Ho,1,1,Moderate,Popular
Kankerlijers,2014,"Comedy, Drama            ",6.2,"Four teenage friends who suffers from cancer, uproar the hospital so to be a healthy child again.",369,Lodewijk Crijns,"Massimo Pesik, Gijs Blom, Jasha Rudge, Vera van der Horst",4,1,Moderate,Average
A Haunting at Silver Falls 2,2019,Horror            ,3.2,"Several years after a deadly struggle with her serial killer aunt, Jordan works to escape her troubled history. But when her aunt's revenge-seeking specter surfaces to join forces with a ...                See full summary »",271,Teo Konuralp,"Laura Flannery, James Cavlo, Harry Hains, Clemmie Dugdale",4,1,Low,Average
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,2016,Comedy            ,7.5,"Hawaiian - shirt enthusiast Gabriel ""Fluffy"" Iglesias finds laughs in racist gift baskets, Prius - driving cops and all - female taco trucks.",2366,Manny Rodriguez,Gabriel Iglesias,1,1,High,Popular
Isle of Dogs,2010,"Action, Crime, Thriller            ",3.5,"When London gangland boss Darius Deel discovers his new trophy-wife Nadia is having an affair, he hunts down her lover Riley and a deadly game begins.",534,Tammi Sutton,"Barbara Nedeljakova, Edward Hogg, Andrew Howard, Gwilym Lee",4,1,Low,Average
Passione sinistra,2013,Comedy            ,5.2,Plot not Available,507,Marco Ponti,"Valentina Lodovini, Alessandro Preziosi, Vinicio Marchioni, Eva Riccobono",4,1,Moderate,Average
Sarah Silverman: A Speck of Dust,2017,Comedy            ,6.8,"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments.",3465,Liam Lynch,"Sarah Silverman, Troy",2,1,Moderate,Popular
When Jews Were Funny,2013,Documentary            ,6.0,Surveys the history of Jewish comedy.,475,Alan Zweig,"Rodney Dangerfield, Marc Maron, Gilbert Gottfried, Howie Mandel",4,1,Moderate,Average
Piola,2019,Drama            ,6.4,"Two friends spend their time making rap music. One night they find a weapon, while a girl loses her dog. Although seemingly unrelated, these stories are intimately linked, telling the difficult passage from adolescence to adulthood.",277,Luis Pérez García,"Pascal Balart, Steevens Benjamin, Matías Burgos, Camila Celedón",4,1,Moderate,Average
The Last Kids on Earth: Happy Apocalypse to You,2021,"Animation, Short, Comedy            ",7.2,"Jack's determined to give June an awesome post-apocalyptic birthday. Can he pull it off? In this interactive special, the answer's up to you.",27,Steve Rolston,"Bruce Campbell, Charles Demers, Brian Drummond, Montse Hernandez",4,1,High,Unknown
Machhli Jal Ki Rani Hai,2014,Horror            ,2.3,"It's not just a matter of one spirit, it's a matter of multiple possessions in one body.",250,Debaloy Dey,"Swara Bhaskar, Reema Debnath, Saurabh Dubey, Hritu",4,1,Low,Average
Dying God,2008,"Horror, Sci-Fi, Thriller            ",2.8,"With the help of local pimps head by Chance, a corrupt cop will have to face his own demons to put an end to a series of brutal rapes and murders of the most weirdest kind, but in the end may not be human.",1027,Fabrice Lambot,"James Horan, Lance Henriksen, Erin Brown, Agathe de La Boulaye",4,1,Low,Popular
Héroes. Silencio y Rock & Roll,2021,Documentary            ,7.5,"""HEROES: SILENCIO Y ROCK AND ROLL"" tells the story of spanish rock band Héroes del Silencio since their very begining to their rise to stardom. It's a movie about friendship, music and ...                See full summary »",535,Alexis Morante,"Pedro Andreu, Enrique Bunbury, Joaquín Cardiel, Juan Valdivia",4,1,High,Average
Hurricane of Fun: The Making of Wet Hot,2015,Documentary            ,7.0,"In 2000, David Wain and Michael Showalter set out to make their first film Wet Hot American Summer. It was a low budget independent film and they cast their friends and a handful of unknown...                See full summary »",1475,Amy Rice,"Elizabeth Banks, Michael Ian Black, Bradley Cooper, Janeane Garofalo",4,1,High,Popular
Raghdah Mutawahheshah,2018,"Comedy, Family            ",5.3,"The film takes place in the context of a comedy about the young Ismail , who works in a beauty center, and accidentally discover that one of the directors of the search for a new face, ...                See full summary »",425,Mahmood Karim,"Adel Abdulnabi, Adel Abdulsalam, Ahmad Abu",3,1,Moderate,Average
Chapo: el escape del siglo,2016,Crime            ,3.2,"Crime drama inspired by real events recounts the sensational prison escape of Mexican drug kingpin Joaquin Guzmân Loera, aka El Chapo.",319,Axel Uriegas,"Irineo Alvarez, José Sefami, Kristoff Raczynski, Thelma Alves",4,1,Low,Average
Taal is zeg maar echt mijn ding,2018,"Comedy, Romance            ",5.6,"Anne wants to quit her job at the Glossy because she can't write the way she wants, but when she gets to work together with the handsome Rick she changes her mind.",453,Barbara Bredero,"Fockeline Ouwerkerk, Egbert Jan Weeber, Peter Faber, Tarikh Janssen",4,1,Moderate,Average
Moon Hotel Kabul,2018,Drama            ,6.5,"Ivan Semciuc (a journalist), is a charismatic man nonetheless guilty of cynicism and lack of compassion. A seemingly meaningless sexual encounter with a translator in a hotel room in Kabul ...                See full summary »",157,Anca Damian,"Ilona Brezoianu, Florin Ghioca, Lia Marin, Alexandru Nagy",4,1,Moderate,Average
Christina P: Mother Inferior,2017,Comedy            ,6.3,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth.",866,Jay Karas,Christina Pazsitzky,1,1,Moderate,Average
Dark Power,2013,Thriller            ,3.4,"When the mayor of a crime-ridden city and his opponent are assassinated, two FBI agents join forces to investigate the murder and become the targets of a powerful criminal conspiracy.",389,John Milton Branton,"Sean Patrick Flanery, Kristanna Loken, Chris Carmack, Richard Gleason",4,1,Low,Average
Recall,2017,"Crime, Drama, Thriller            ",2.9,"When given the chance at a fresh-start, a grieving young man and his coked-up stepbrother must confront a local mafia kingpin and perhaps something even more dangerous - their past.",251,Michael James Regan,"Michael James Regan, Tommy James Murphy, Louis Di Bianco, Stefano DiMatteo",4,1,Low,Average
Revenge of the Electric Car,2011,Documentary            ,7.2,"Director Chris Paine takes his film crew behind the closed doors of Nissan, GM, and the Silicon Valley start-up Tesla Motors to chronicle the story of the global resurgence of electric cars.",1808,Chris Paine,"Tim Robbins, Dan Neil, Danny DeVito, Ray Wert",4,1,High,Popular
Chris D'Elia: No Pain,2020,Comedy            ,5.9,Chris D'Elia takes the stage in Minneapolis to offer his thoughts on everything from self-censorship to problematic dolphins to lame mutant powers.,1666,Matt D,Chris D,1,1,Moderate,Popular
I Love You from 38000 Feet,2016,"Drama, Romance            ",5.9,"Aletta (Michelle Ziudith) meets Arga (Rizky Nazar) in Bali and they fall head over heels in love. They spent every moment together. When they return to Jakarta, Arga promises to find her and marry her. But, he never shows up anymore.",142,Asep Kusdinar,"Michelle Ziudith, Rizky Nazar, Tanta Ginting, Derby Romero",4,1,Moderate,Average
Jenny Slate: Stage Fright,2019,"Comedy, Reality-TV            ",5.9,Jenny Slate's debut stand up-comedy special blends with home videos from her childhood and interviews of her with her family.,1163,Gillian Robespierre,Jenny Slate,1,1,Moderate,Popular
Niyazi Gül Dörtnala,2015,"Action, Adventure, Comedy            ",4.5,"Niyazi, a veterinarian, is on the lookout for a special elixir for animals. What he doesn't yet know is a mobster and his estranged love is also on the lookout for that elixir.",3023,Hakan Algül,"Ata Demirer, Demet Akbag, Sebnem Bozoklu, Levent Ülgen",4,1,Low,Popular
Jeff Dunham's Very Special Christmas Special,2008,Comedy            ,7.5,The multi-platinum selling comedian performs his first holiday-themed stand-up special with his friends.,2916,Michael Simon,"Jeff Dunham, Brian Haner",2,1,High,Popular
Gek van geluk,2017,"Comedy, Romance            ",5.4,"In 'Gek van Geluk', Plien van Bennekom steps into the role of single mum Lena. Lena writes love songs but it stumped with writer's block due to the lack of romance in her life. That is ...                See full summary »",341,Johan Nijenhuis,"Plien van Bennekom, Matteo van der Grijn, Carly Wijs, Henry van Loon",4,1,Moderate,Average
Meet the Mormons,2014,Documentary            ,6.8,"Meet the Mormons examines the very diverse lives of six devout members of the Church of Jesus Christ of Latter-day Saints. Filmed on location and across the globe, Meet the Mormons takes ...                See full summary »",1973,Blair Treu,"Jermaine Sullivan, Ken Niumatalolo, Carolina Muñoz Marin, Bishnu Adhikari",4,1,Moderate,Popular
Kevin James: Never Don't Give Up,2018,Comedy            ,6.1,"Kevin James is back with a new stand-up special dishing on parenting, allergies, his fans, and more.",1366,Andy Fickman,Kevin James,1,1,Moderate,Popular
Katt Williams: Great America,2018,Comedy            ,6.1,"Live performance of comedian Katt Williams riffing on the current state of politics, racial tensions and sex.",895,Leslie Small,Katt Williams,1,1,Moderate,Average
Anytown,2009,"Crime, Drama, Thriller            ",4.8,"A middle-American teenage boy who is affected by 9/11, terrorism, and the war in Iraq becomes involved in an isolated high school altercation that escalates into a hate crime that shocks the entire nation.",367,David Rodriguez,Matt O,1,1,Low,Average
Rich Kids,2018,Drama            ,6.0,"A group of troubled teens from a low-income community break into ""Los Ricos"", the local mansion with a border fence, and spend the day pretending to be rich in order to forget their difficult lives.",119,Laura Somers,"Gerardo M Velasquez, Justin Rodriguez, Michelle Magallon, Ulysses Montoya",4,1,Moderate,Average
El club de los buenos infieles,2017,Comedy            ,5.6,"Four childhood friends, all married with no passion left, get together in a high school reunion dinner. Between laughs and drinks, they all agree that they love their wives but no longer ...                See full summary »",608,Lluís Segura,"Fele Martínez, Hovik Keuchkerian, Albert Ribalta, Jordi Vilches",4,1,Moderate,Average
Mees Kees,2012,"Comedy, Family            ",6.7,Class of Fun is the hilariously funny family film chronicling the misadventures of a young intern teacher at an elementary school.,725,Barbara Bredero,"Felix Osinga, Brent Thomassen, Sanne Wallis de Vries, Willem Voogd",4,1,Moderate,Average
One in a Billion,2016,Documentary            ,6.7,"In a country of 1.2 billion people and in a sport with billions of fans worldwide, there has yet to be a single Indian-born player drafted in the NBA. One in a Billion follows the global ...                See full summary »",511,Roman Gackowski,"Dan Barto, Balbir Singh Bhamara, Satnam Singh Bhamara, Larry Bird",4,1,Moderate,Average
Soekarno: Indonesia Merdeka,2013,"Biography, History            ",7.0,"This movie follows the life of Soekarno, the first president of the Republic of Indonesia, from his childhood until he managed to proclaimed Indonesian freedom with M. Hatta in 1945.",452,Hanung Bramantyo,"Ario Bayu, Muhammad Abbe, Moch",3,1,High,Average
City of Joy,2016,"Documentary, Crime, Drama            ",7.5,"This film follows the first class of students at a remarkable leadership center in the Eastern Democratic Republic of Congo, a region often referred to as ""the worst place in the world to ...                See full summary »",475,Madeleine Gavin,Christine Schuler,1,1,High,Average
Departe de tine,2017,Drama            ,5.5,A young couple struggles to keep their marriage afloat in a foreign country.,108,James Pillion,"Maia Morgenstern, Shuang Hu, Andi Vasluianu, Maria Dinulescu",4,1,Moderate,Average
A Yellow Bird,2016,Drama            ,5.5,"Siva, a Singaporean-Indian man is released after in prison for contraband smuggling. Unable to find forgiveness form his mother, he begins a quest to locate his ex-wife and daughter. Just ...                See full summary »",203,K Rajagopal,"Sivakumar Palakrishnan, Lu Huang, Seema Biswas, Udaya Soundari",4,1,Moderate,Average
Hallo Bungalow,2015,Comedy            ,4.9,"In park ""De Lusthove"" there are three women who are leading a boring life. They decide to blackmail their boss so that they will get money to start a new life. Their boss however hires two killers. The women will have to fight to survive.",289,Anne de Clercq,"Huub Smit, Jennifer Hoffman, Eva van der Gucht, Lies Visschedijk",4,1,Low,Average
Little Miss Sumo,2018,"Documentary, Short, Biography            ",6.6,A female sumo wrestler fights against tradition and stigma to win her place in the ring.,409,Matt Kay,"Adam Bouhouhou, Hiyori Kon",2,1,Moderate,Average
Nada a Perder 2,2019,"Biography, Drama            ",3.3,Part 2 of Edir Macedo's self-financed biopic.,618,Alexandre Avancini,"Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh",4,1,Low,Average
Chris Rock Total Blackout: The Tamborine Extended Cut,2021,Comedy            ,7.1,"Chris Rock takes the stage filled with searing observations on fatherhood, infidelity and politics.",133,Chris Rock,"Dave Chappelle, Jimmy Fallon, Questlove, Robin Quivers",4,1,High,Average
BreadCrumbs,2011,"Horror, Thriller            ",3.2,A group of Porn Filmmakers are systematically attacked by 2 children on the set of a remote shoot.,828,Mike Nichols,"Dan Shaked, Marianne Hagan, Jim J",3,1,Low,Average
"Bloed, Zweet & Tranen",2015,"Biography, Drama, Music            ",7.1,The turbulent life story of the most famous folk singer the Netherlands has ever known: André Hazes.,1792,Diederick Koopal,"Martijn Fischer, Hadewych Minis, Fedja van Huêt, Matheu Hinzen",4,1,High,Popular
Patton Oswalt: I Love Everything,2020,Comedy            ,6.4,Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.,1141,Marcus Raboy,"Patton Oswalt, Bob Rubin",2,1,Moderate,Popular
Misfit 2,2019,Comedy            ,4.8,A talented singer and her singer-songwriter boyfriend get the chance to represent their school in the biggest music competition for students in which the grand prize is a record deal. But ...                See full summary »,124,Erwin van den Eshof,"Tatyana Beloy, Hanwe Chang, Quentin Correia, Stefan de Vries",4,1,Low,Average
Blue Kids,2017,"Drama, Thriller            ",4.8,"A brother and a sister live on the borderline between awareness of their actions and total unconsciousness, until they commit a sin from which there is no return.",79,Andrea Tagliaferri,"Fabrizio Falco, Matilde Gioli, Agnese Claisse, Giustiniano Alpi",4,1,Low,Unknown
Oprah Winfrey Presents: When They See Us Now,2019,Talk-Show            ,7.7,"Oprah Winfrey talks with the exonerated men once known as the Central Park Five, plus the cast and producers who tell their story in ""When they see us""",2253,Mark Ritchie,"Asante Blackk, Ava DuVernay, Caleel Harris, Ethan Herisse",4,1,High,Popular
Jo Koy: In His Elements,2020,Comedy            ,5.3,"Jo Koy returns to the Philippines to show off the local culture and headline a special featuring Filipino American comedians, DJs and hip-hop dancers.",415,Michael McKay,"Fateeha, Joey Guila, Jo Koy, Llmind",4,1,Moderate,Average
Sugar Coated,2015,Documentary            ,7.5,"How the food industry sugar-coated science, sweetened the food supply, and seduced a planet, one spoonful at a time.",827,Michèle Hozer,"Gary Taubes, Robert Lustig, Craig Wilcox, Alexis Gomez",4,1,High,Average
Feedback,2002,"Sci-Fi, Thriller            ",4.9,"Set in a bleak and desolate world, three friends embark on an ill-conceived plan to outrun their destinies. As they try to cheat time, they find themselves in a race against their past and the inevitable future.",264,Teo Konuralp,"Joe Tabb, Melissa Pursley, Jesse Bob Harper, Jerry Giordano",4,1,Low,Average
Dear Mr. Watterson,2013,Documentary            ,6.4,"A documentary about the impact of the newspaper comic strip ""Calvin and Hobbes"", created by Bill Watterson.",1834,Joel Allen Schroeder,"Berkeley Breathed, Jef Mallett, Stephan Pastis, Seth Green",4,1,Moderate,Popular
Mike Epps: Don't Take It Personal,2015,Comedy            ,4.4,Mike Epps tears up the stage at L.A.'s historic Orpheum Theatre in a special packed with blistering impressions and unapologetically raunchy swagger.,249,L,Mike Epps,1,1,Low,Average
L'oro di Scampia,2014,"Biography, Drama            ",6.9,"In Scampia, the Camorra hires young people from an early age to make them lookouts, drug couriers or hit men. Here is Enzo Capuano's gym, where he teaches judo to the boys of the neighborhood, tearing them from the street.",73,Marco Pontecorvo,"Giuseppe Fiorello, Gianluca Di Gennaro, Anna Foglietta, Gaetano Bruno",4,1,Moderate,Unknown
An Act of War,2015,"Crime, Drama, Thriller            ",5.2,"A veteran tries to put his life back together, but is drawn to deeds that may be more dangerous than his tour of duty.",1422,Ryan M,"Russ Russo, Natasha Alam, Doug E",3,1,Moderate,Popular
"Fat, Sick & Nearly Dead 2",2014,Documentary            ,6.4,Joe Cross examines how to make healthy habits last. Joe meets with experts who present realistic solutions to make long-term sustainable improvements to eating behaviors and overall health.,1611,Kurt Engfehr,"Joe Cross, Bjarke de Koning, Carrie Diulus, Sheila Kar",4,1,Moderate,Popular
Alles voor elkaar,2017,Comedy            ,5.4,Four friends who are nearly turning 30 need to work together in order to fulfill their dreams.,293,Danny Stolker,"Maryam Hassouni, Esmée van Kampen, Yootha Wong",3,1,Moderate,Average
Jim Gaffigan: Cinco,2017,Comedy            ,7.1,The king of clean comedy returns for his fifth hour long comedy special.,2185,Jeannie Gaffigan,"Jim Gaffigan, Marre Gaffigan, Katie Gaffigan, Jack Gaffigan",4,1,High,Popular
Skew,2011,"Horror, Thriller            ",4.4,"When Simon, Rich, and Eva head out on an eagerly anticipated road trip, they bring along a video camera to record their journey. What starts out as a carefree adventure slowly becomes a ...                See full summary »",1954,Sevé Schelenz,"Rob Scattergood, Amber Lewis, Richard Olak, Taneal Cutting",4,1,Low,Popular
Black Privilege,2019,Family            ,3.3,"When low-income families move into a thriving black community in Chicago, they find themselves at odds with politicians to maintain their status.",205,Mark Harris,"Anah Ambuchi, Malcom Banks, Sarah Cigan, Tommy Corts",4,1,Low,Average
"Especial de Natal: Se Beber, Não Ceie",2018,"Short, Comedy            ",6.3,It's the morning after the Last Supper and the disciples are waking up hungover and wondering where their Messiah is.,2219,Rodrigo Van Der Put,"Fábio Porchat, Gregório Duvivier, Antonio Tabet, Pedro Benevides",4,1,Moderate,Popular
Breaking the Bee,2018,Documentary            ,6.9,Chronicle of the ups and downs of four Indian-American students as they compete to realize their dream of winning the iconic tournament.,675,Sam Rega,"Srinivas Ayyagari, Jacques Bailly, Valerie Browning, Ratnam Chitturi",4,1,Moderate,Average
Puppy,2005,"Comedy, Drama, Horror            ",6.0,"Attempting suicide, sultry but down-on-her-luck swindler Liz is rescued by lonely tow truck driver Aiden. But instead of rushing her to the hospital, Liz's savior abducts her to his remote ...                See full summary »",276,Kieran Galvin,"Nadia Townsend, Bernard Curry, Terence Donovan, Susan Ellis",4,1,Moderate,Average
Hell and Back Again,2011,"Documentary, Action, History            ",6.5,What does it mean to lead men in war? What does it mean to come home? Hell and Back Again is a cinematically revolutionary film that asks and answers these questions with a power and ...                See full summary »,2236,Danfung Dennis,"Nathan Harris, Ashley Harris, The Marines of Echo Company, Christian Cabaniss",4,1,Moderate,Popular
Sugar High,2020,Reality-TV            ,7.3,"Contestants compete in two rounds of sugar sculpting challenges for a prize of $10,000.",136,Ariel Boles,"Hunter March, Jackie Sorkin, Rebecca DeAngelis, Stéphane Tréand",4,1,High,Average
The Hurt Business,2016,"Documentary, Sport            ",6.5,"From the producers of 'Bowling for Columbine', 'Fahrenheit 9/11' and 'Generation Iron' comes 'The Hurt Business' which examines the rise of mixed martial arts fighting through the eyes of today's top stars.",924,Vlad Yudin,"Luke Adams, Ben Askren, Josh Barnett, Charles Bernick",4,1,Moderate,Average
Russell Brand from Addiction to Recovery,2012,Documentary            ,6.9,"After the death of his friend Amy Winehouse from an overdose, Russel Brand looks back on his own years of addiction and wants to show that not all addicts turn out the same way.",401,Ross Wilson,"Russell Brand, Amy Winehouse, Mitch Winehouse",3,1,Moderate,Average
Sun Belt Express,2014,"Comedy, Drama, Family            ",6.2,A down-on-his-luck ethics professor ends up on a completely unhinged run across the Mexican border with his teenage daughter in tow - and four undocumented immigrants in the trunk.,373,Evan Buxbaum,"Brett Aresco, Oscar Avila, Robert Buxbaum, Arturo Castro",4,1,Moderate,Average
Last Will,2011,"Drama, Thriller            ",4.5,"An affluent woman is framed for the murder of her husband and faces a mountain of evidence stacked against her. Undeterred, she begins to put the pieces of the true story together.",418,Brent Huff,Tatum O,1,1,Low,Average
Johan Falk: Operation Näktergal,2009,"Action, Crime, Thriller            ",5.9,"The police unit ""GSI"" of Gothenburg city have been ordered to identify and arrest the people responsible for importing young women into Sweden from Eastern Europe for the purpose of ...                See full summary »",2036,Daniel Lind Lagerlöf,"Jakob Eklund, Henrik Norlén, Anja Antonowicz, Stipe Erceg",4,1,Moderate,Popular
Fred Armisen: Standup For Drummers,2018,Comedy            ,5.8,"Comedian and drummer Fred Armisen performs stand-up material, music, and sketches for an audience of fellow drummers.",1210,Lance Bangs,"Fred Armisen, Clem Burke, Vinnie Colaiuta, Tre Cool",4,1,Moderate,Popular
Firebrand,2019,Drama            ,5.2,"The ups and downs of modern-day relationship take the spotlight in this contemporary, slice-of-life story.",262,Aruna Raje,"Usha Jadhav, Girish Kulkarni, Sachin Khedekar, Rajeshwari Sachdev",4,1,Moderate,Average
Hadi Insallah,2014,Comedy            ,5.4,"PuCCa is a broadcaster. When she applies for a new job, she meets a man.",4029,Ali Taner Baltaci,"Büsra Pekin, Murat Boz, Müjde Uzman, Sinasi Yurtsever",4,1,Moderate,Popular
Bolbol Hayran,2010,"Comedy, Drama, Romance            ",6.4,"Bolbol, a rich man who is trying to take the hard decision of his future wife, meets the women who he believes is the perfect one for him but after a while he finds out she is not that good...                See full summary »",2445,Khalid Marie,"Ahmed Helmy, Zeina, Sherry Adel, Aimi Samir Ghanem",4,1,Moderate,Popular
Russell Peters: Almost Famous,2016,Comedy            ,6.6,"Canadian comedy star, Russell Peters, visits Toronto's Massey Hall for a homecoming stand-up comedy performance. Russell returns to his trademark material of ethnic jokes and audience interaction.",1788,David Higby,"Russell Peters, Jus Reign",2,1,Moderate,Popular
The Waiting Room,2012,Documentary            ,7.1,Go behind the doors of an American public hospital struggling to care for a community of largely uninsured patients.,785,Peter Nicks,Sean Bennett,1,1,High,Average
The Magic School Bus Rides Again: Kids in Space,2020,"Animation, Adventure, Comedy            ",5.9,The Magic School Bus kids blast into orbit and onto the International Space Station only to find themselves on the run from a giant tardigrade.,64,Richard Weston,"Kate McKinnon, Matthew Mucci, Mikaela Blake, Gabby Clarke",4,1,Moderate,Unknown
"Ray Romano: Right Here, Around the Corner",2019,"Documentary, Comedy            ",7.2,"Ray Romano cut his stand-up teeth at the Comedy Cellar in New York. Now, in his first comedy special in 23 years, he returns to where it all began.",1548,Michael Showalter,"Ray Romano, Ryan Reiss, Richard Sarvate",3,1,High,Popular
Marc Maron: Too Real,2017,Comedy            ,7.2,"Comedian Marc Maron riffs on topics including Donald Trump, a Rolling Stones concert, and the hat-buying experience.",1782,Lynn Shelton,Marc Maron,1,1,High,Popular
Squadra antitruffa,1977,"Action, Comedy            ",6.4,A rude Roman policeman Nico Giraldi and an English detective team up in search of a gang that has carried out an enormous fraud against the Lloyd's of London.,345,Bruno Corbucci,"Tomas Milian, David Hemmings, Anna Cardini, Alberto Farnese",4,1,Moderate,Average
Shawn Mendes: Live in Concert,2020,Music            ,7.4,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans.",232,Paul Dugdale,"Shawn Mendes, Camila Cabello",2,1,High,Average
Rodney King,2017,"Comedy, Drama            ",5.8,Roger Guenveur Smith performs his one man show focusing on the life and times of Rodney King.,552,Spike Lee,Roger Guenveur Smith,1,1,Moderate,Average
Squadra antigangsters,1979,"Action, Comedy, Crime            ",5.5,"An ex policeman, now working for Interpol, and his ex assistant find themselves caught up in a Mafia war. With the help of a large dose of luck, two sexy women and the timely arrival of ...                See full summary »",239,Bruno Corbucci,"Tomas Milian, Enzo Cannavale, Asha Puthli, Margherita Fumero",4,1,Moderate,Average
River of Darkness,2011,"Action, Horror, Thriller            ",2.1,"When brutal murdering starts in a small riverside town, the sheriff must investigate and face the horrific past.",876,Bruce Koehler,"Kurt Angle, S",2,1,Low,Average
The App That Stole Christmas,2020,Comedy            ,3.6,"The App that Stole Christmas is a story about Felix Rhome, an inventor, who has created a super powerful App that eases the shopping craze during Christmas by the click of a button. His ...                See full summary »",323,Monica Floyd,"Ray J, Jackie Long, J",3,1,Low,Average
Michelle Wolf: Joke Show,2019,Comedy            ,7.2,"Comedian Michelle Wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from New York City.",1392,Lance Bangs,Michelle Wolf,1,1,High,Popular
Katherine Ryan: In Trouble,2017,Comedy            ,7.0,"Canadian comic Katherine Ryan explains the perks of dating younger men. She talks about her unusual relationships, living in the hometown she hates and how she once enraged an entire nation.",2008,Colin Dench,Katherine Ryan,1,1,High,Popular
Otto er et næsehorn,2013,"Animation, Comedy, Family            ",5.1,"Topper is an optimistic young boy with a vivid imagination. He is also in love with Cilla, but she thinks he's very crazy. One day Topper finds a pencil and draws a rhino that comes to live! This changes everything.",297,Kenneth Kainz,"Nikolai Aamand, Noah Crone Back, Lars Brygmann, Kaya Brüel",4,1,Moderate,Average
Lalbaug Parel: Zali Mumbai Sonyachi,2010,Action            ,7.3,Mill workers are subjected to atrocities and their plight is ignored by the government.,304,Mahesh Manjrekar,"Vinay Apte, Seema Biswas, Ankush Chaudhari, Anusha Dhandekar",4,1,High,Average
Khair wa Barakah,2017,Comedy            ,3.9,"In a comedy theme, the movie revolves around two siblings trying to look for a job. After they're done, they go through some extremely comedic situations when they work in jobs that they know nothing about.",150,Sameh Abdulaziz,"Muhammad Abdulrahman, Tara Emad, Ali Rabi, Mohammed Tharwat",4,1,Low,Average
Let It Fall: Los Angeles 1982-1992,2017,"Documentary, History            ",7.8,An in-depth look at the culture of Los Angeles in the ten years leading up to the 1992 uprising that erupted after the verdict of police officers cleared of beating Rodney King.,726,John Ridley,"Daryl Gates, Tom Bradley, Damian ",3,1,High,Average
