movies,year,genre,rating,brief summary,votes,director,actor,count_actors,count_directors,rating category,voting category
Sicario,2015,"Action, Crime, Drama            ",7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,387903,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",4,1,High,Very Popular
The Irishman,2019,"Biography, Crime, Drama            ",7.8,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,345455,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel",4,1,High,Very Popular
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama            ",8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1691777,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",4,1,High,Very Popular
Baby Driver,2017,"Action, Crime, Drama            ",7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",468655,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",4,1,High,Very Popular
Spider-Man,2002,"Action, Adventure, Sci-Fi            ",7.3,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",709684,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco",4,1,High,Very Popular
Jumanji: The Next Level,2019,"Action, Adventure, Comedy            ",6.7,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",205638,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan",4,1,Moderate,Very Popular
I Care a Lot,2020,"Comedy, Crime, Thriller            ",6.3,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,109059,J Blakeson,"Rosamund Pike, Peter Dinklage, Eiza González, Dianne Wiest",4,1,Moderate,Very Popular
Love and Monsters,2020,"Action, Adventure, Comedy            ",7.0,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.",100693,Michael Matthews,Dylan O,1,1,High,Very Popular
Awake,2021,"Action, Adventure, Drama            ",4.8,"After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter.",16262,Mark Raso,"Gina Rodriguez, Ariana Greenblatt, Lucius Hoyos, Shamier Anderson",4,1,Low,Very Popular
Arrival,2016,"Drama, Sci-Fi            ",7.9,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,623912,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",4,1,High,Very Popular
Taxi Driver,1976,"Crime, Drama            ",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",752553,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks",4,1,High,Very Popular
Grease,1978,"Musical, Romance            ",7.2,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",250587,Randal Kleiser,"John Travolta, Olivia Newton",2,1,High,Very Popular
The King,2019,"Biography, Drama, History            ",7.2,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",97848,David Michôd,Tom Glynn,1,1,High,Very Popular
The Dig,2021,"Biography, Drama, History            ",7.1,An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.,60598,Simon Stone,"Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn",4,1,High,Very Popular
